sl,state,district,female_literacy,agricultural_labour,wealth,mpce,poverty_head_ratio,poverty_gap_ratio,Squared_poverty_gap,gini,Log_mean_deviation,theil_index,rank_dist_phc_ratio,sort_ght,bmi_less,percent_ of_ poor,total_population,total_poor_population,rice,per_capita_rice,Jowar,per_capita_jowar,bajra,per_capita_bajra,maize,per_capita_maize,ragi,per_capita_ragi,wheat,per_capita_wheat,Other_cereals_and_millets,per_capita_other_cereal_millet,total_cereals_and_millets,per_capita_total_cereals_millets,bmi_1849_lessthan185,urban,stunted_5,Wasted_5,Underweight_5,Open_defecation ,Low_birth_weight
109,Chhattisgarh,Raipur,65.75,31.3,29.06,1280,43.86,10.8,4.02,0.32,0.18,0.34,435,8.6,27,43.2,4063872,1755593,179497,0.1022,0,0,0,0,380,0.0002,0,0,2950,0.0017,2,0,182829,0.1041,0,0,38.1,19,37.4,0.4733,0.0926
506,Tamil Nadu,Ariyalur,61.74,32.49,37.26,1595,19.4,4.36,1.28,0.24,0.1,0.13,176,5.9,17.9,42.1,754894,317810,15398,0.0485,725,0.0023,1006,0.0032,15343,0.0483,38,0.0001,0,0,190,0.0006,32700,0.1029,17.5,0,36.8,19,23.8,0.6916,0.1982
101,Chhattisgarh,Jashpur,58.61,32.73,12.98,1164,35.18,6.1,1.57,0.22,0.08,0.1,335,12.4,29.3,86.2,851669,734139,181149,0.2468,99,0.0001,44,0.0001,5572,0.0076,309,0.0004,1084,0.0015,3037,0.0041,191294,0.2606,29.3,0,36.4,19,35.2,0.8117,0.1862
47,Assam,Karbi Anglong,62,13.82,25.54,1021,66.26,12.04,3.06,0.17,0.05,0.06,587,14.3,15.6,71.8,956313,686633,133530,0.1945,0,0,0,0,10617,0.0155,0,0,1158,0.0017,228,0.0003,145533,0.212,18.2,0,28.7,19,23.7,0.1966,0.1064
546,Uttar Pradesh,Bareilly,48.3,22.21,35.27,1241,41,9,2.97,0.27,0.12,0.25,396,13.2,24.8,46,4448359,2046245,168863,0.0825,55,0,8535,0.0042,263,0.0001,0,0,206549,0.1009,6,0,384271,0.1878,25.4,0,46,18.9,42.1,0.2404,0.2688
14,Andhra Pradesh,Kurnool,49.78,28.5,27.97,1394,42.53,7.39,1.87,0.26,0.11,0.19,421,13.9,24.9,25.6,4053463,1037687,108715,0.1048,53790,0.0518,8632,0.0083,35753,0.0345,0,0,32,0,12127,0.0117,219049,0.2111,23.7,0,44.1,18.9,37.5,0.4179,0.1417
414,Odisha,Dhenkanal,71,34.98,19.8,1361,11.62,1.92,0.51,0.24,0.11,0.33,71,10.6,23.2,58,1192811,691830,75373,0.1089,0,0,0,0,11,0,1,0,0,0,0,0,75385,0.109,27.8,0,25.4,18.9,29.2,0.6407,0.181
79,Bihar,Begusarai,55.21,41.39,21.83,1200,38.09,7.79,2.16,0.21,0.07,0.07,375,17.1,33.2,74.5,2970541,2213053,18149,0.0082,94,0,0,0,56443,0.0255,45,0,60600,0.0274,1476,0.0007,136807,0.0618,33.4,0,45.3,18.8,39.1,0.5513,0.1669
460,Rajasthan,Alwar,56.25,10.45,33.82,2147,24.26,4.32,1.23,0.39,0.26,0.86,230,2.5,24.5,33.6,3674179,1234524,266,0.0002,24062,0.0195,273586,0.2216,3681,0.003,0,0,215678,0.1747,0,0,517273,0.419,27.64,0,43.4,18.8,35.6,0.5091,0.2093
279,Madhya Pradesh,Chhatarpur,53.59,25.11,23.18,1483,17.26,3.87,1.08,0.23,0.09,0.12,151,8,27.7,72,1762375,1268910,3470,0.0027,9428,0.0074,0,0,422,0.0003,0,0,189127,0.149,5,0,202452,0.1595,30.1,0,42.8,18.8,41.3,0.794,0.1944
468,Rajasthan,Nagaur,47.82,14.96,26.23,1548,25.32,3.21,0.71,0.22,0.08,0.1,244,3.1,22.8,34.8,3307743,1151095,0,0,26989,0.0234,344534,0.2993,25,0,0,0,64949,0.0564,0,0,436497,0.3792,27.51,0,39.9,18.8,31.4,0.3871,0.2385
59,Assam,Udalguri,58.05,18.09,27.78,1173,41.2,6.89,1.64,0.19,0.06,0.07,399,15.1,22.1,72.7,831668,604623,90390,0.1495,0,0,0,0,590,0.001,0,0,562,0.0009,40,0.0001,91582,0.1515,20.6,0,38.8,18.8,31.8,0.1496,0.1062
637,Telangana,Mahbubnagar,57.44,31.91,25.89,1756,15.55,2.48,0.63,0.25,0.1,0.15,123,15.2,39,45.4,4053028,1840075,96278,0.0523,25958,0.0141,1223,0.0007,162563,0.0883,705,0.0004,0,0,1305,0.0007,288032,0.1565,31.1,0,36.3,18.8,34.5,0.6174,0.1424
490,Sikkim,South District,75.82,4.91,23.94,1522,25.11,3.81,0.93,0.24,0.09,0.11,240,1.2,7.7,4.2,146850,6168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.1,18.8,0,0,0.0833
54,Assam,Kamrup,69.47,14.14,31.41,1480,26.79,4.9,1.42,0.24,0.09,0.12,263,11.5,22.9,56.2,1517542,852859,113637,0.1332,223,0.0003,0,0,203,0.0002,8,0,831,0.001,152,0.0002,115054,0.1349,18.5,0,34.3,18.8,29.6,0.0634,0.2436
253,Karnataka,Kolar,66.84,18.58,35.68,1780,8.84,1.2,0.26,0.26,0.11,0.19,44,4.4,21.7,22.6,1536401,347227,1232,0.0035,0,0,0,0,310,0.0009,59304,0.1708,0,0,55,0.0002,60901,0.1754,27.4,17,33.1,18.8,27.7,0.3152,0.131
623,West Bengal,Hugli,76.36,23.25,34.16,1353,42.32,9.38,2.91,0.28,0.13,0.19,418,12.6,24,39.7,5519145,2191101,277621,0.1267,0,0,0,0,238,0.0001,0,0,5,0,0,0,277864,0.1268,19.1,16.7,30,18.8,28.7,0.1683,0.2354
512,Tamil Nadu,Sivaganga,71.85,22.98,43.92,1431,41.29,8.33,2.41,0.27,0.12,0.15,403,6.9,20.6,26.8,1339101,358879,65207,0.1817,176,0.0005,17,0,19,0.0001,42,0.0001,0,0,35,0.0001,65496,0.1825,24.1,10.9,20.5,18.8,22.7,0.4552,0.1194
23,Arunachal Pradesh,East Siang,66.49,6.06,39.07,2025,22.77,4.4,1.12,0.28,0.12,0.13,217,7,3.8,31.8,99214,31550,27143,0.8603,0,0,0,0,0,0,0,0,68,0.0022,0,0,27212,0.8625,4.7,0,20.2,18.8,16.9,0.0556,0
163,Haryana,Mahendragarh,64.57,10.64,34.62,1964,16.4,3.23,1.03,0.25,0.1,0.1,137,2.2,23.9,10.6,922088,97741,0,0,28,0.0003,74144,0.7586,0,0,0,0,50606,0.5178,0,0,124779,1.2766,20.1,0,24.2,18.7,26.1,0.2062,0.2038
463,Rajasthan,Karauli,48.61,14.93,18.57,1278,39.78,8.58,2.59,0.23,0.09,0.11,388,7.9,31.8,64.1,1458248,934737,1867,0.002,443,0.0005,127397,0.1363,34,0,0,0,89193,0.0954,0,0,218934,0.2342,32.66,0,44.9,18.6,35.7,0.7122,0.3407
6,Andhra Pradesh,Visakhapatnam,59.34,21.88,31,2161,31.71,8.29,3.11,0.42,0.3,0.7,302,11.2,30.1,25.6,4290589,1098391,109915,0.1001,223,0.0002,1731,0.0016,6643,0.006,19472,0.0177,0,0,7036,0.0064,145020,0.132,27.6,10.6,31.7,18.6,33.1,0.3932,0.2026
10,Andhra Pradesh,Guntur,60.09,29.43,28.17,2001,19.89,4.11,1.32,0.33,0.19,0.53,188,11,16.7,18.6,4887813,909133,175940,0.1935,13906,0.0153,2219,0.0024,35066,0.0386,648,0.0007,0,0,0,0,227779,0.2505,12.6,9.3,25.2,18.6,29.1,0.2685,0.1802
528,Uttar Pradesh,Saharanpur,61.74,24.33,37.42,1425,26.67,4.97,1.43,0.26,0.11,0.21,260,9.2,21.7,33.2,3466382,1150839,63637,0.0553,63637,0.0553,7645,0.0066,0,0,0,0,129657,0.1127,0,0,264576,0.2299,27.9,0,37.5,18.5,36.1,0.2815,0.2329
505,Tamil Nadu,Perambalur,65.9,22.69,36.6,1755,17.15,2.83,0.77,0.27,0.12,0.14,149,9.2,18,26.9,565223,152045,3319,0.0218,931,0.0061,208,0.0014,48537,0.3192,3,0,0,0,119,0.0008,53117,0.3494,18.5,0,25,18.5,22,0.6158,0.1978
601,Uttarakhand,Rudraprayag,70.35,2.1,22.21,1474,9.04,1.5,0.45,0.19,0.06,0.08,47,7.2,10.4,25.2,242285,61056,9247,0.1515,0,0,0,0,158,0.0026,6397,0.1048,9958,0.1631,2893,0.0474,28653,0.4693,15.4,0,30.6,18.4,25.9,0.2109,0.2
78,Bihar,Samastipur,51.51,48.47,21.52,1124,45.21,8.18,2.2,0.2,0.07,0.09,446,19.1,29.3,84.2,4261566,3588239,88666,0.0247,0,0,0,0,61875,0.0172,87,0,49357,0.0138,1072,0.0003,201057,0.056,30,0,49.6,18.3,41.3,0.7331,0.1477
284,Madhya Pradesh,Rewa,61.16,37.54,24.34,915,72.64,20.46,8.07,0.26,0.11,0.2,609,14.2,24.7,72.3,2365106,1709972,130004,0.076,9995,0.0058,214,0.0001,1067,0.0006,0,0,159815,0.0935,710,0.0004,301805,0.1765,24.1,0,41.4,18.3,36.2,0.661,0.2374
106,Chhattisgarh,Kabirdham,48.71,31.35,16.02,988,57.04,12.37,4.1,0.24,0.1,0.21,545,11.5,34.9,68.7,822526,565075,105359,0.1865,5,0,3,0,1896,0.0034,0,0,7925,0.014,6186,0.0109,121374,0.2148,34.7,0,39.9,18.3,38.4,0.7299,0.0926
420,Odisha,Gajapati,43.18,40.61,10.08,925,56,18.96,8.09,0.29,0.14,0.17,540,15.2,22.7,69.3,577817,400427,42225,0.1054,0,0,0,0,11231,0.028,950,0.0024,0,0,1331,0.0033,55737,0.1392,24.1,0,33.3,18.3,32.1,0.6053,0.1368
566,Uttar Pradesh,Banda,53.67,32.57,24.42,956,61.9,13.66,3.89,0.22,0.08,0.11,575,10.4,20.8,75.5,1799410,1358555,55953,0.0412,24677,0.0182,3197,0.0024,2,0,0,0,165405,0.1218,5,0,249239,0.1835,23,0,45.9,18.2,41.5,0.6731,0.1443
591,Uttar Pradesh,Ghazipur,60.29,30.31,35.17,1074,41.86,10.24,3.19,0.24,0.1,0.18,412,18.4,28.4,67.1,3620268,2429200,154945,0.0638,2538,0.001,18205,0.0075,453,0.0002,7,0,191205,0.0787,52,0,367405,0.1512,0,0,41.7,18.2,31.7,0.7646,0.1196
5,Andhra Pradesh,Vizianagaram,49.87,30.29,19.33,1432,37.97,8.1,2.17,0.28,0.12,0.17,372,11.4,30.3,30.2,2344474,708031,125299,0.177,50,0.0001,90,0.0001,35987,0.0508,2055,0.0029,0,0,65,0.0001,163546,0.231,29.7,0,38.3,18.2,34.4,0.6548,0.1211
